"UberEats_startTime,UberEats_endTime,UberEats_restaurant_info/b_name,UberEats_restaurant_info/vb_name,GrubHub_startTime,GrubHub_endTime,GrubHub_restaurant_info/b_name,GrubHub_restaurant_info/vb_name,is_out_of_range"
",,Lincoln Gourmet Deli,Prima Panini Bar,00:00:00.000,00:00:00.000,Lincoln Gourmet Deli,Prima Panini Bar,Out of Range with 5 mins difference"
",,Lincoln Gourmet Deli,Prima Panini Bar,00:00:00.000,00:00:00.000,Lincoln Gourmet Deli,Prima Panini Bar,Out of Range with 5 mins difference"
",,Lincoln Gourmet Deli,Prima Panini Bar,00:00:00.000,00:00:00.000,Lincoln Gourmet Deli,Prima Panini Bar,Out of Range with 5 mins difference"
",,Seaport Deli,Casa De Quesadilla,00:00:00.000,00:00:00.000,Seaport Deli,Casa De Quesadilla,Out of Range with 5 mins difference"
",,Seaport Deli,Casa De Quesadilla,00:00:00.000,00:00:00.000,Seaport Deli,Casa De Quesadilla,Out of Range with 5 mins difference"
",,Seaport Deli,Casa De Quesadilla,00:00:00.000,00:00:00.000,Seaport Deli,Casa De Quesadilla,Out of Range with 5 mins difference"
",,Seaport Deli,Casa De Quesadilla,00:00:00.000,00:00:00.000,Seaport Deli,Casa De Quesadilla,Out of Range with 5 mins difference"
",,East Side Deli,Casa De Quesadilla,06:00:00.000,22:00:00.000,East Side Deli,Casa De Quesadilla,Out of Range with 5 mins difference"
",,East Side Deli,Casa De Quesadilla,06:00:00.000,22:00:00.000,East Side Deli,Casa De Quesadilla,Out of Range with 5 mins difference"
",,East Side Deli,Casa De Quesadilla,06:00:00.000,22:00:00.000,East Side Deli,Casa De Quesadilla,Out of Range with 5 mins difference"
",,East Side Deli,Casa De Quesadilla,06:00:00.000,21:30:00.000,East Side Deli,Casa De Quesadilla,Out of Range with 5 mins difference"
",,Lemon Tree Gourmet Deli,Mary's Omelette Bar,06:00:00.000,00:00:00.000,Lemon Tree Gourmet Deli,Mary's Omelette Bar,Out of Range with 5 mins difference"
",,Lemon Tree Gourmet Deli,Mary's Omelette Bar,06:00:00.000,00:00:00.000,Lemon Tree Gourmet Deli,Mary's Omelette Bar,Out of Range with 5 mins difference"
